"text","twitterUrl","tweet_id","cleaned_text","sentiment"
"@WSJ Strongly recommend reading Naomi Schaeffer Riley’s review of book “Crooked Smile” by Jared Klickstein. Author decries “modern” drug policies/culture, e.g. harm reduction and destigmatization as strategies catering to ongoing use instead of encouragi","https://twitter.com/madras_bertha/status/1805270350130782640",1562,"wsj strongly recommend reading naomi schaeffer riley’s review book “crooked smile” jared klickstein author decries “modern” drug policiesculture eg harm reduction destigmatization strategies catering ongoing use instead encouragi",2
"@DrBarbara10 Strands #113 “Fine print” Makes me miss my madras bermudas and batik tablecloth. 🔵🔵🟡🔵 🔵🔵🔵","https://twitter.com/ClaudiaRoseNYC/status/1805269503124910513",1563,"drbarbara strands “fine print” makes miss madras bermudas batik tablecloth 🔵🔵🟡🔵 🔵🔵🔵",0
"Why, oh why was pickle ball, a terrific sport, stigmatized with such a bizarre designation? When first heard the name, conjured up images of a circle of inebriated party-goers, heaving marinated cucumbers at one another. Then I played: pleasant hybrid of badminton-tennis.","https://twitter.com/madras_bertha/status/1805269034109182169",1564," oh pickle ball terrific sport stigmatized bizarre designation first heard name conjured images circle inebriated partygoers heaving marinated cucumbers one another played pleasant hybrid badmintontennis",5
"@madras_bertha @WSJ @JaredKlickstein so awesome","https://twitter.com/rationalinpdx/status/1805266987872116994",1565,"madrasbertha wsj jaredklickstein awesome",4
"Red, White and Burnouts! Car Show and Drag Racing at Madras Dragstrip 97 US-26, Madras, OR 97741 Thursday, July , 2024 All Vehicles Welcome :00am - :00pm Check-in starts at :00am Kids Games, Drag Racing, Food Trucks and Family Fun! Drag ","https://twitter.com/BendCarCulture/status/1805241687834321382",1566,"red white burnouts car show drag racing madras dragstrip us madras thursday july vehicles welcome pm checkin starts kids games drag racing food trucks family fun drag ",3
"@jbmanian @GAURAVS20563120 @dmuthuk Why is being from madras considered abusive?","https://twitter.com/trampolinest/status/1805231817630318656",1567,"jbmanian gauravs dmuthuk madras considered abusive",-3
"@JamesLucasIT It’s wrong and there was no cannibals in Madras during that famine! He is just sitting there!!!","https://twitter.com/natsaba/status/1805231539229229182",1568,"jameslucasit ’s wrong cannibals madras famine just sitting ",-2
"@MaryBonoUSA Priorities are right: connectivity with others and world at large is essential for mental health. Septic tank malfunction is temporary inconvenience.","https://twitter.com/madras_bertha/status/1805224262753452489",1569,"marybonousa priorities right connectivity others world large essential mental health septic tank malfunction temporary inconvenience",-2
"@Prasad_karoshi_ plz help me to connect with @H4cker_Madras , need financial and tech support. It an emergency 🆘️🆘️🆘️🆘️🆘️🆘️","https://twitter.com/pnkj_gujar/status/1805218949400813901",1570,"prasadkaroshi plz help connect hckermadras need financial tech support emergency 🆘️🆘️🆘️🆘️🆘️🆘️",2
"📍RV59+76W Jaipur, Rajasthan @H4cker_Madras Need your help Stuck in a bad condition Please check your DM PLEASE 🙏 🙏 🙏","https://twitter.com/pnkj_gujar/status/1805217076162011511",1571,"📍rvw jaipur rajasthan hckermadras need help stuck bad condition please check dm please 🙏 🙏 🙏",-1
"@FinFloww Most time zones are offset from UTC by integer hours. India is among the few countries with non-integer offsets. So, UTC +:00 Pakistan UTC +:30 India, Sri Lanka UTC +:00 Bangladesh For India, the old Madras- or railway- time became the IST","https://twitter.com/YBB_Finance/status/1805203172664750418",1572,"finfloww time zones offset utc integer hours india among countries noninteger offsets utc pakistan utc india sri lanka utc bangladesh india old madras railway time became ist",NA
"Amazing photos, fascinating, funny and far more. The Madras famine photo is so sad.","https://twitter.com/TerryCulkin1/status/1805158675872399647",1573,"amazing photos fascinating funny far madras famine photo sad",9
"@kaalbhairav_2k @madras_aale Will have to watch ","https://twitter.com/chambal_se/status/1805143896755941379",1574,"kaalbhairavk madrasaale will watch ",NA
"The difference between South Indian screw or Madras screw vs. the Bombay screw type. Raj, partner in Totaram Jewelers, USA. #indianjewelleryonlineusa #indianbridesusa #bridesusa #usaindianjewellery #indianjewelryinusa #indiansinusa #fashionjewelryusa #southindianinusa ","https://twitter.com/totaramjewelers/status/1805114682308547019",1575," difference south indian screw madras screw vs bombay screw type raj partner totaram jewelers usa indianjewelleryonlineusa indianbridesusa bridesusa usaindianjewellery indianjewelryinusa indiansinusa fashionjewelryusa southindianinusa ",NA
"Huge Huge respect to @irbishi for showing what is commentating means in a cricket game. WI have lost the game but he is keeping all emotions aside and doing his job. Respect 🫡 #SAvWI #T20WorldCup2024","https://twitter.com/newbatsman/status/1805104167477739855",1576,"huge huge respect irbishi showing commentating means cricket game wi lost game keeping emotions aside job respect 🫡 savwi tworldcup",-1
"Rep. Cliff Bentz, R-Ore., honors Class of 2028 service academy appointments, including Madras High School's Hunter Carpen, who will attend the U.S. Air Force Academy, and announces opening of the Class of 2029 nominating process. ","https://twitter.com/KTVZ/status/1805098645622084069",1577,"rep cliff bentz rore honors class service academy appointments including madras high schools hunter carpen will attend us air force academy announces opening class nominating process ",NA
"Check out Doulton Burslem Blue Flow Porcelain Bowl, Madras Pattern, Antique EUC #eBay via @eBay","https://twitter.com/kelashthrift/status/1805083548883308992",1578,"check doulton burslem blue flow porcelain bowl madras pattern antique euc ebay via ebay",NA
"Check out Brooks Brothers Mens Shorts Plaid Madras Size 30 Pants 100% Cotton #eBay via @eBay","https://twitter.com/clevelandwest/status/1805058380895027465",1579,"check brooks brothers mens shorts plaid madras size pants cotton ebay via ebay",NA
"@MacSmiff Carrot seed!? Man, drive over to Madras. It has to be the carrot seed capital of the world. Every other field. It’s incredible to think the world needs that much carrot seed. Boggling.","https://twitter.com/pjolstead/status/1805041897196679652",1580,"macsmiff carrot seed man drive madras carrot seed capital world every field ’s incredible think world needs much carrot seed boggling",NA
"Can help fill these hot air balloons at the 2023 Tigard Balloon Festival in our jigsaw from @YourOregonNews? ","https://twitter.com/MadrasPioneer/status/1805036873456218124",1581,"can help fill hot air balloons tigard balloon festival jigsaw youroregonnews ",2
"Cannabis, Tobacco Use, and COVID-19 Outcomes - PubMed Cannabis is a dependent risk factor for COVID related complications. ","https://twitter.com/madras_bertha/status/1805005342343930120",1582,"cannabis tobacco use covid outcomes pubmed cannabis dependent risk factor covid related complications ",-2
"@Ellekl Calm down dear","https://twitter.com/madras_paul/status/1804976595414958566",1583,"ellekl calm dear",4
"US97, @ Madras Prineville Hwy US26, Unconfirmed, An unconfirmed report of a crash has been received. Use caution.","https://twitter.com/TripCheckUS97A/status/1804966533002854883",1584,"us madras prineville hwy us unconfirmed unconfirmed report crash received use caution",-4
"Dufur, Oregon: From 1954 to 630 Residents, a Town's Evolving Story. ","https://twitter.com/MadrasPioneer/status/1804930419118239999",1585,"dufur oregon residents towns evolving story ",NA
"@KeithNHumphreys Female: 20s: rock climbing injury 30s: carried infant 12 hours/day for comfort 40s: lugged bags of groceries each arm 50s: lugged 48 soda/beer cans in one arm for spouse’s birthday party 60s: carried grandchild 12 hours to comfort 70","https://twitter.com/madras_bertha/status/1804907453621940572",1586,"keithnhumphreys female s rock climbing injury s carried infant hoursday comfort s lugged bags groceries arm s lugged sodabeer cans one arm spouse’s birthday party s carried grandchild hours comfort ",2
"@Ashy_slashee Impossible question: female rulers exercised the same “modus operandi” as male rulers (murder of opponents or challengers to power) but were vilified for their behaviors because females expected to behave more humanely. Easier to judge homi","https://twitter.com/madras_bertha/status/1804904471358587340",1587,"ashyslashee impossible question female rulers exercised “modus operandi” male rulers murder opponents challengers power vilified behaviors females expected behave humanely easier judge homi",-2
"all the rightful chatter about మహానటి now and one cannot forget the unmistakable influence of madras talkies’ iruvar on . 🙂","https://twitter.com/santydolby/status/1804893411507384759",1588," rightful chatter మహానటి now one forget unmistakable influence madras talkies’ iruvar 🙂",-1
"@mkstalin Send a final nail to Modi.....send some Madras hooch😎","https://twitter.com/RajK48611547/status/1804883769326797010",1589,"mkstalin send final nail modisend madras hooch😎",NA
"@madras_aale Interesting. Have observed this but never knew about this","https://twitter.com/karmachanics/status/1804829270071730405",1590,"madrasaale interesting observed never knew ",2
"@iamarshi10 am honored that an IIT Madras grad is my mutual btw 😅","https://twitter.com/blue_slushy9/status/1804769040591716414",1591,"iamarshi honored iit madras grad mutual btw 😅",2
"@Fleishman_Tobby Don't they ever go to South Madras ?","https://twitter.com/AgentSaffron/status/1804743220980502993",1592,"fleishmantobby dont ever go south madras ",NA
"Last time I went to North Madras many years ago, I did business with a Marwari Seth whose family has lived there for generations. Whatever think of Marwari Banias, their ability to survive in tough areas is legendary.","https://twitter.com/AgentSaffron/status/1804741368377397685",1593,"last time went north madras many years ago business marwari seth whose family lived generations whatever think marwari banias ability survive tough areas legendary",2
